Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
JAPON|G8, CENTRALSA|17/07/2019| 8703237900|2005|HONDA|CR-V SE 4WD|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|14821.86|1778.62|
