"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","created2"
"101","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/uzpbsVEjJN",FALSE,1,NA,2020-09-02 21:11:59,TRUE,NA,"1301266647026720769",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MensajeroSi",0,FALSE,FALSE,NA,NA,2020-09-02 15:11:59
"102","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/A3Bf9B06HL",FALSE,1,NA,2020-09-02 20:57:54,TRUE,NA,"1301263103359844352",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MensajeroSi",0,FALSE,FALSE,NA,NA,2020-09-02 14:57:54
"103","@soy_502 Sea de donde sea, venga de donde vengan los motoristas son un problema de seguridad para  vehículos, cicli… https://t.co/fbQR8V0wPd",FALSE,1,"soy_502",2020-09-02 20:49:23,TRUE,"1301232795281436673","1301260956983603205","1687984068","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaniiiMellado",0,FALSE,FALSE,NA,NA,2020-09-02 14:49:23
"104","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/XVg8muXdnV",FALSE,1,NA,2020-09-02 20:49:06,TRUE,NA,"1301260888943493120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MensajeroSi",0,FALSE,FALSE,NA,NA,2020-09-02 14:49:06
"105","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/tCTS5k9rdW",FALSE,1,NA,2020-09-02 20:47:55,TRUE,NA,"1301260590950875138",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MensajeroSi",0,FALSE,FALSE,NA,NA,2020-09-02 14:47:55
"106","RT @desastresgt: Roatán, Honduras, #Nana inicia su ingreso a Costa Atlántica. A partir de las 13 horas se incrementan vientos en regiones p…",FALSE,0,NA,2020-09-02 20:40:33,FALSE,NA,"1301258735617273856",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","franciscomendia",1,TRUE,FALSE,NA,NA,2020-09-02 14:40:33
"107","@PMT_VILLANUEVA @traficogt El  entro comercial metroplaza se robo tunel al  terminar la cuesta villalobos.   Anunci… https://t.co/7TLUdxqd1U",FALSE,0,"PMT_VILLANUEVA",2020-09-02 20:38:21,TRUE,"1301196886330814464","1301258183789481984","608213660","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gerzon13",0,FALSE,FALSE,NA,NA,2020-09-02 14:38:21
"108","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/SIGbJcMV9h",FALSE,1,NA,2020-09-02 20:36:30,TRUE,NA,"1301257715075944448",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bien062011",0,FALSE,FALSE,NA,NA,2020-09-02 14:36:30
"109","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/FU0pfGC0RO",FALSE,1,NA,2020-09-02 20:35:31,TRUE,NA,"1301257468295643139",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bien062011",0,FALSE,FALSE,NA,NA,2020-09-02 14:35:31
"110","Un Civic, un bus y un camión; sólo el motorista faltó para armar el combo de imbéciles del #TráficoGT https://t.co/beGKtD6rgS",FALSE,1,NA,2020-09-02 20:30:18,FALSE,NA,"1301256154312577026",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Fernand08_",0,FALSE,FALSE,NA,NA,2020-09-02 14:30:18
