Año,Mes,GLP,Gasolina aviación,Gasolina superior,Gasolina regular,Kerosina,Combustible Turbo Jet,Diesel,Diesel Bajo Azufre,Diesel Ultra Bajo Azufre,Bunker,Asfalto,PetCoke,Aceites Lubricantes,Grasas Lubricantes,Solventes,Naftas,Ceras,Butano,Petróleo Reconstit.,MTBE,Orimulción,Mezclas Oleosas,Total
2018,1,"396,363.05",- ,"535,784.70","571,858.06",- ,"92,894.94",- ,"1,153,831.89","21,987.53","134,033.14","5,302.14",- ,- ,- ,- ,- ,- ,78.78,- ,- ,- ,- ,"2,912,134.23"
2018,2,"591,000.02",- ,"629,467.91","509,366.10",- ,"52,337.76",- ,"921,684.12","29,946.48","85,318.21","3,721.91","407,070.30",- ,- ,- ,- ,- ,0.37,- ,- ,- ,- ,"3,229,913.18"
2018,3,"644,245.40","15,747.16","529,507.15","563,899.06",- ,"23,906.14",- ,"889,227.10","12,064.95","84,988.82","6,182.35","418,762.45",- ,- ,- ,- ,- ,74.03,- ,- ,- ,- ,"3,188,604.61"
2018,4,"188,590.81",- ,"617,512.28","510,830.00",- ,"70,906.87",- ,"696,962.77",- ,"219,805.45","1,877.72",- ,- ,- ,- ,- ,- ,72.29,- ,- ,- ,- ,"2,306,558.19"
2018,5,"636,234.13",- ,"580,329.35","580,825.11",- ,"72,992.51",- ,"1,592,580.34","38,055.30","111,460.41","4,300.00","327,075.21",- ,- ,- ,- ,- ,6.96,- ,- ,- ,- ,"3,943,859.32"
2018,6,"618,811.33","21,208.26","558,257.59","463,620.61","1,000.00","34,249.65",- ,"777,679.91",- ,"130,426.60","6,413.00",- ,- ,- ,- ,- ,- ,144.57,- ,- ,- ,- ,"2,611,811.52"
2018,7,"584,386.15","4,005.99","784,601.77","543,333.77",- ,"40,811.00",- ,"793,683.41",- ,"148,012.12","8,518.71","385,600.49",- ,- ,- ,- ,- ,5.84,- ,- ,- ,- ,"3,292,959.25"
2018,8,"408,658.63","20,437.54","541,557.34","663,834.04",- ,"81,985.47",- ,"1,281,364.78",- ,"214,625.41","3,434.71",- ,- ,- ,- ,- ,- ,74.63,- ,- ,- ,- ,"3,215,972.55"
2018,9,"449,846.76","18,379.30","536,897.09","454,442.87",- ,"94,980.04",- ,"896,266.43",- ,"26,753.84","4,473.29","406,985.43",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,889,025.05"
2018,10,"600,230.45","2,395.30","663,440.34","726,044.35",- ,"55,219.75",- ,"992,682.04","6,049.00","150,085.74","4,285.71","418,296.61",- ,- ,- ,- ,- ,74.94,- ,- ,- ,- ,"3,618,804.23"
2018,11,"598,626.16",- ,"509,382.86","534,084.49",- ,"52,310.24",- ,"899,588.34","39,035.84","65,312.15","2,584.71","244,787.00",- ,- ,- ,- ,- ,73.85,- ,- ,- ,- ,"2,945,785.64"
2019,12,"614,887.00",- ,"631,652.56","535,639.97",- ,"87,868.41",- ,"792,198.66",- ,"84,669.38","2,588.13","438,155.24",- ,- ,- ,- ,- ,83.27,- ,- ,- ,- ,"3,187,742.62"
2019,1,"414,086.12","15,399.57","684,504.84","702,923.37",- ,"59,152.84",- ,"1,195,728.20",- ,"196,719.10","3,058.43","208,276.69","16,541.30",585.91,"7,282.59",350.92,334,0.41,- ,- ,- ,475.49,"3,505,419.78"
2019,2,"460,518.80","1,801.96","521,555.38","469,437.28",- ,"101,570.62",- ,"1,208,476.16",- ,"100,485.14","8,794.74","279,583.39","21,619.99",545.97,"11,978.35",342.55,307.6,144.57,- ,- ,- ,"1,911.93","3,189,074.42"
2019,3,"384,425.56",- ,"704,276.53","678,145.38",- ,"118,678.80",- ,"1,550,052.84",- ,"109,888.23","10,715.12","256,490.00","17,980.15",996.49,"4,717.69",- ,426.69,80.58,- ,- ,- ,"2,170.21","3,839,044.27"
